pickup_date,vendor_id,passenger_count,trip_distance,payment_type,fare_amount,tip_amount
2013-01-01,CMT,1,8.59999942779541,CRD,26.0,6.75
2013-01-01,CMT,1,0.5,CSH,4.5,0.0
2013-01-01,CMT,1,0.4000000059604645,CSH,4.5,0.0
2013-01-01,CMT,1,1.100000023841858,CSH,6.5,0.0
2013-01-01,CMT,1,1.2000000476837158,DIS,2.5,0.0
2013-01-01,CMT,1,0.800000011920929,CSH,4.5,0.0
2013-01-01,CMT,4,1.399999976158142,CSH,8.0,0.0
2013-01-01,CMT,2,1.2000000476837158,CSH,6.0,0.0
2013-01-01,CMT,1,1.2999999523162842,CRD,11.0,1.0
2013-01-01,CMT,1,2.799999952316284,CSH,9.5,0.0
2013-01-01,CMT,2,0.5,CSH,4.0,0.0
2013-01-01,CMT,1,3.0,CSH,12.0,0.0
2013-01-01,CMT,1,3.0,CSH,11.0,0.0
2013-01-01,CMT,1,3.5,CRD,13.0,2.799999952316284
2013-01-01,CMT,1,2.200000047683716,CRD,8.5,2.3499999046325684
2013-01-01,CMT,2,1.100000023841858,CSH,5.5,0.0
2013-01-01,CMT,2,5.699999809265137,CSH,17.5,0.0
2013-01-01,CMT,4,2.8999998569488525,CSH,13.0,0.0
2013-01-01,CMT,1,1.7999999523162842,CSH,10.5,0.0
2013-01-01,CMT,3,3.5,CRD,12.5,0.0
2013-01-01,CMT,2,2.799999952316284,CSH,15.0,0.0
2013-01-01,CMT,2,2.0,CSH,13.0,0.0
2013-01-01,CMT,1,3.799999952316284,CRD,19.0,1.0
2013-01-01,CMT,1,3.0,CRD,13.5,2.9000000953674316
2013-01-01,CMT,1,1.5,CSH,10.5,0.0
2013-01-01,CMT,2,1.100000023841858,CSH,6.0,0.0
2013-01-01,CMT,2,0.5999999642372131,CSH,4.0,0.0
2013-01-01,CMT,3,1.100000023841858,CSH,8.5,0.0
2013-01-01,CMT,1,2.700000047683716,CSH,11.0,0.0
2013-01-01,CMT,1,1.899999976158142,CRD,11.5,3.0999999046325684
2013-01-01,CMT,1,0.5,CSH,5.0,0.0
2013-01-01,CMT,3,4.599999904632568,CSH,21.0,0.0
2013-01-01,CMT,1,0.5,CSH,6.0,0.0
2013-01-01,CMT,2,0.5999999642372131,CSH,5.5,0.0
2013-01-01,CMT,2,9.899999618530273,CRD,30.5,7.25
2013-01-01,CMT,1,1.2000000476837158,CRD,6.0,1.0
2013-01-01,CMT,2,1.2000000476837158,CSH,5.5,0.0
2013-01-01,CMT,1,2.0999999046325684,CSH,9.5,0.0
2013-01-01,CMT,1,2.299999952316284,CSH,10.5,0.0
2013-01-01,CMT,1,0.0,NOC,2.5,0.0
2013-01-01,CMT,2,2.700000047683716,CRD,11.0,3.0
2013-01-01,CMT,1,16.299999237060547,CSH,44.0,0.0
2013-01-01,CMT,2,1.399999976158142,CSH,7.5,0.0
2013-01-01,CMT,1,3.3999998569488525,CRD,11.5,2.5
2013-01-01,CMT,1,5.699999809265137,CRD,19.0,4.0
2013-01-01,CMT,2,3.799999952316284,CRD,14.0,3.0
2013-01-01,CMT,1,0.29999998211860657,CSH,3.5,0.0
2013-01-01,CMT,5,3.299999952316284,CSH,13.5,0.0
2013-01-01,CMT,2,0.20000000298023224,CRD,3.0,0.0
2013-01-01,CMT,2,12.399999618530273,CSH,35.0,0.0
2013-01-01,CMT,2,1.2000000476837158,CSH,6.5,0.0
2013-01-01,CMT,1,8.59999942779541,CRD,27.0,3.0
2013-01-01,CMT,1,2.299999952316284,CSH,9.0,0.0
2013-01-01,CMT,1,0.8999999761581421,CSH,5.5,0.0
2013-01-01,CMT,2,7.199999809265137,CRD,23.5,6.119999885559082
2013-01-01,CMT,1,6.299999713897705,CRD,23.0,4.800000190734863
2013-01-01,CMT,1,2.0,CSH,9.0,0.0
2013-01-01,CMT,1,2.0,CRD,10.0,2.0
2013-01-01,CMT,2,6.099999904632568,CRD,17.5,5.550000190734863
2013-01-01,CMT,4,0.8999999761581421,CSH,5.0,0.0
2013-01-01,CMT,3,2.200000047683716,CSH,10.0,0.0
2013-01-01,CMT,1,1.399999976158142,CSH,8.5,0.0
2013-01-01,CMT,3,0.699999988079071,CSH,5.5,0.0
2013-01-01,CMT,2,3.299999952316284,CSH,13.0,0.0
2013-01-01,CMT,1,6.900000095367432,CSH,22.5,0.0
2013-01-01,CMT,1,4.900000095367432,CRD,15.0,3.200000047683716
2013-01-01,CMT,1,10.5,CSH,33.5,0.0
2013-01-01,CMT,2,9.699999809265137,CSH,31.0,0.0
2013-01-01,CMT,1,0.5,CSH,4.0,0.0
2013-01-01,CMT,1,8.199999809265137,CRD,26.0,5.0
2013-01-01,CMT,1,14.199999809265137,CRD,41.5,8.5
2013-01-01,CMT,1,4.400000095367432,CSH,15.0,0.0
2013-01-01,CMT,1,4.199999809265137,CSH,15.5,0.0
2013-01-01,CMT,1,5.299999713897705,CRD,19.0,4.0
2013-01-01,CMT,1,2.299999952316284,CSH,5.5,0.0
2013-01-01,CMT,2,1.5,CSH,8.0,0.0
2013-01-01,CMT,1,1.100000023841858,CSH,6.0,0.0
2013-01-01,CMT,1,2.200000047683716,CRD,12.0,4.079999923706055
2013-01-01,CMT,4,0.5,CSH,4.5,0.0
2013-01-01,CMT,1,0.8999999761581421,CRD,6.0,1.399999976158142
2013-01-01,CMT,2,2.8999998569488525,CRD,12.0,2.5999999046325684
2013-01-01,CMT,1,2.0999999046325684,CRD,10.0,2.200000047683716
2013-01-01,CMT,1,3.0,CSH,10.5,0.0
2013-01-01,CMT,1,0.0,NOC,20.0,0.0
2013-01-01,CMT,2,3.0999999046325684,CSH,12.0,0.0
2013-01-01,CMT,2,0.20000000298023224,CRD,5.5,2.0
2013-01-01,CMT,1,2.5999999046325684,CSH,13.0,0.0
2013-01-01,CMT,1,5.099999904632568,CSH,18.0,0.0
2013-01-01,CMT,1,5.5,CSH,18.0,0.0
2013-01-01,CMT,1,4.099999904632568,CRD,16.5,0.5
2013-01-01,CMT,2,2.200000047683716,CRD,8.5,2.3499999046325684
2013-01-01,CMT,1,2.299999952316284,CSH,10.0,0.0
2013-01-01,CMT,1,0.5999999642372131,CSH,4.0,0.0
2013-01-01,CMT,1,4.5,CSH,14.5,0.0
2013-01-01,CMT,1,3.5,CSH,14.0,0.0
2013-01-01,CMT,1,3.0999999046325684,CRD,11.0,2.0
2013-01-01,CMT,1,5.799999713897705,CSH,21.0,0.0
2013-01-01,CMT,1,1.0,CSH,5.0,0.0
2013-01-01,CMT,2,1.399999976158142,CSH,15.0,0.0
2013-01-01,CMT,1,4.299999713897705,CSH,13.5,0.0
2013-01-01,CMT,1,6.699999809265137,CSH,21.5,0.0
2013-01-01,CMT,1,1.399999976158142,CSH,8.0,0.0
2013-01-01,CMT,1,0.5999999642372131,CSH,4.0,0.0
2013-01-01,CMT,2,1.2999999523162842,CSH,6.5,0.0
2013-01-01,CMT,1,3.700000047683716,CSH,14.0,0.0
2013-01-01,CMT,2,1.2000000476837158,CSH,8.0,0.0
2013-01-01,CMT,4,14.899999618530273,CSH,42.5,0.0
2013-01-01,CMT,1,3.200000047683716,CRD,12.5,3.369999885559082
2013-01-01,CMT,2,1.899999976158142,CRD,8.0,2.0
2013-01-01,CMT,1,2.299999952316284,CRD,14.5,3.0999999046325684
2013-01-01,CMT,2,0.5,CSH,5.0,0.0
2013-01-01,CMT,2,3.200000047683716,CSH,12.0,0.0
2013-01-01,CMT,1,7.299999713897705,CSH,24.0,0.0
2013-01-01,CMT,1,1.600000023841858,CSH,9.0,0.0
2013-01-01,CMT,1,1.5,CSH,6.5,0.0
2013-01-01,CMT,2,1.7000000476837158,CRD,8.0,1.7999999523162842
2013-01-01,CMT,2,2.5,CSH,14.5,0.0
2013-01-01,CMT,1,0.800000011920929,CSH,6.0,0.0
2013-01-01,CMT,2,5.400000095367432,CSH,17.0,0.0
2013-01-01,CMT,1,1.7999999523162842,CRD,9.0,2.0
2013-01-01,CMT,1,1.899999976158142,CSH,8.5,0.0
2013-01-01,CMT,1,2.200000047683716,CRD,10.5,2.299999952316284
2013-01-01,CMT,1,1.100000023841858,CSH,6.0,0.0
2013-01-01,CMT,1,1.600000023841858,CRD,7.5,1.7000000476837158
2013-01-01,CMT,2,2.0,CRD,10.0,2.75
2013-01-01,CMT,1,2.8999998569488525,CSH,11.5,0.0
2013-01-01,CMT,2,0.8999999761581421,DIS,9.5,0.0
2013-01-01,CMT,3,1.399999976158142,CSH,7.0,0.0
2013-01-01,CMT,1,1.5,CSH,7.0,0.0
2013-01-01,CMT,2,1.399999976158142,CSH,7.5,0.0
2013-01-01,CMT,2,9.300000190734863,CSH,30.0,0.0
2013-01-01,CMT,1,2.0999999046325684,CSH,12.5,0.0
2013-01-01,CMT,1,5.400000095367432,CRD,17.5,3.700000047683716
2013-01-01,CMT,1,2.299999952316284,CSH,10.0,0.0
2013-01-01,CMT,1,5.5,CRD,17.0,4.559999942779541
2013-01-01,CMT,1,1.5,CSH,13.0,0.0
2013-01-01,CMT,1,2.200000047683716,CSH,10.0,0.0
2013-01-01,CMT,2,1.2000000476837158,CRD,7.0,1.600000023841858
2013-01-01,CMT,1,0.20000000298023224,CSH,3.0,0.0
2013-01-01,CMT,1,3.3999998569488525,CRD,13.0,1.600000023841858
2013-01-01,CMT,1,2.700000047683716,CSH,10.5,0.0
2013-01-01,CMT,2,2.700000047683716,CSH,12.0,0.0
2013-01-01,CMT,1,1.7000000476837158,CSH,9.0,0.0
2013-01-01,CMT,3,3.5999999046325684,CSH,15.0,0.0
2013-01-01,CMT,1,0.8999999761581421,CSH,6.5,0.0
2013-01-01,CMT,1,13.5,CRD,41.0,4.0
2013-01-01,CMT,1,6.799999713897705,CRD,26.0,5.400000095367432
2013-01-01,CMT,1,2.8999998569488525,CRD,10.0,2.75
2013-01-01,CMT,1,0.699999988079071,CRD,5.5,1.6200000047683716
2013-01-01,CMT,1,1.2999999523162842,CRD,6.5,1.5
2013-01-01,CMT,1,9.800000190734863,CSH,28.0,0.0
2013-01-01,CMT,2,1.0,CSH,6.0,0.0
2013-01-01,CMT,1,1.2999999523162842,CSH,7.0,0.0
2013-01-01,CMT,1,1.0,CRD,5.0,1.0
2013-01-01,CMT,1,2.3999998569488525,CSH,10.0,0.0
2013-01-01,CMT,1,0.5999999642372131,CRD,4.5,1.649999976158142
2013-01-01,CMT,1,1.899999976158142,CRD,8.5,1.899999976158142
2013-01-01,CMT,2,0.29999998211860657,CSH,3.5,0.0
2013-01-01,CMT,1,13.899999618530273,NOC,40.0,0.0
2013-01-01,CMT,1,3.3999998569488525,CRD,12.0,2.0999999046325684
2013-01-01,CMT,1,1.600000023841858,CRD,7.5,1.0
2013-01-01,CMT,1,5.699999809265137,CSH,20.0,0.0
2013-01-01,CMT,1,0.800000011920929,CSH,6.0,0.0
2013-01-01,CMT,1,0.699999988079071,CSH,5.5,0.0
2013-01-01,CMT,1,5.799999713897705,CSH,20.0,0.0
2013-01-01,CMT,1,1.100000023841858,CSH,6.0,0.0
2013-01-01,CMT,1,0.5,CRD,4.5,1.100000023841858
2013-01-01,CMT,1,1.7999999523162842,CRD,7.5,3.0
2013-01-01,CMT,1,1.399999976158142,CRD,7.5,2.549999952316284
