pickup_date,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code_id,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,pickup_location_id,dropoff_location_id,junk1,junk2
2015-01-01,0,1,2015-01-01 00:00:24,2015-01-01 00:18:53,4,4.900000095367432,0.0,0.0,1,N,0.0,0.0,1,18.0,0.5,0.5,4.800000190734863,0.0,0.0,24.100000381469727,0,0,,
2015-01-01,0,1,2015-01-01 00:00:24,2015-01-01 00:13:30,2,2.0999999046325684,-74.00642395019531,40.73938751220703,1,N,-73.97920227050781,40.745018005371094,2,11.0,0.5,0.5,0.0,0.0,0.0,12.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:00:25,2015-01-01 00:00:25,1,0.0,-73.96834564208984,40.759742736816406,1,N,0.0,0.0,2,2.5,0.5,0.5,0.0,0.0,0.0,3.799999952316284,0,0,,
2015-01-01,0,1,2015-01-01 00:00:25,2015-01-01 00:11:30,1,3.5999999046325684,-73.9626693725586,40.76274108886719,1,N,-73.90535736083984,40.742210388183594,2,13.0,0.5,0.5,0.0,0.0,0.0,14.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:00:28,2015-01-01 00:04:04,2,1.5,-73.96113586425781,40.768951416015625,1,N,-73.954345703125,40.78727722167969,2,6.0,0.5,0.5,0.0,0.0,0.0,7.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:00:28,2015-01-01 00:23:29,1,6.900000095367432,-73.99127960205078,40.762821197509766,1,N,-73.99837493896484,40.68851852416992,2,23.5,0.5,0.5,0.0,0.0,0.0,24.799999237060547,0,0,,
2015-01-01,0,1,2015-01-01 00:00:30,2015-01-01 00:05:35,1,0.699999988079071,-73.99089050292969,40.73884582519531,1,N,-74.00013732910156,40.74281692504883,2,5.5,0.5,0.5,0.0,0.0,0.0,6.800000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:00:36,2015-01-01 00:20:21,1,9.699999809265137,-73.98013305664062,40.73455810546875,1,N,-73.91233825683594,40.84748840332031,2,28.5,0.5,0.5,0.0,0.0,0.0,29.799999237060547,0,0,,
2015-01-01,0,1,2015-01-01 00:00:38,2015-01-01 00:17:18,2,11.600000381469727,0.0,0.0,1,N,0.0,0.0,1,32.0,0.5,0.5,8.300000190734863,0.0,0.0,41.599998474121094,0,0,,
2015-01-01,0,1,2015-01-01 00:00:41,2015-01-01 00:24:36,1,15.800000190734863,-73.77667999267578,40.64536666870117,1,N,-73.96465301513672,40.59526062011719,2,44.0,0.5,0.5,0.0,0.0,0.0,45.29999923706055,0,0,,
2015-01-01,0,1,2015-01-01 00:00:42,2015-01-01 00:13:59,1,3.0999999046325684,-73.98517608642578,40.77849578857422,1,N,-73.94346618652344,40.77745819091797,2,12.5,0.5,0.5,0.0,0.0,0.0,13.5,0,0,,
2015-01-01,0,1,2015-01-01 00:00:42,2015-01-01 00:16:38,1,5.900000095367432,-74.01470184326172,40.713436126708984,1,N,-73.9844970703125,40.745880126953125,2,19.0,0.5,0.5,0.0,0.0,0.0,20.299999237060547,0,0,,
2015-01-01,0,1,2015-01-01 00:00:42,2015-01-01 00:00:49,1,0.0,-73.99964141845703,40.72835922241211,1,N,-73.99949645996094,40.728267669677734,3,2.5,0.5,0.5,0.0,0.0,0.0,3.799999952316284,0,0,,
2015-01-01,0,1,2015-01-01 00:00:43,2015-01-01 00:05:08,2,0.30000001192092896,-73.99378204345703,40.76152801513672,1,N,-73.99758911132812,40.76384353637695,2,4.5,0.5,0.5,0.0,0.0,0.0,5.800000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:00:43,2015-01-01 00:14:21,1,2.200000047683716,-73.94054412841797,40.799072265625,1,N,-73.97066497802734,40.79654312133789,2,11.0,0.5,0.5,0.0,0.0,0.0,12.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:00:43,2015-01-01 00:13:38,1,3.9000000953674316,-73.97403717041016,40.757076263427734,1,N,-73.96461486816406,40.800872802734375,2,14.0,0.5,0.5,0.0,0.0,0.0,15.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:00:50,2015-01-01 00:15:20,1,5.5,-73.95586395263672,40.77233123779297,1,N,-73.88658905029297,40.74042510986328,2,18.0,0.5,0.5,0.0,0.0,0.0,19.299999237060547,0,0,,
2015-01-01,0,1,2015-01-01 00:00:50,2015-01-01 00:14:50,1,5.599999904632568,-73.98373413085938,40.725669860839844,1,N,-73.93090057373047,40.76305389404297,1,17.5,0.5,0.5,5.599999904632568,0.0,0.0,24.399999618530273,0,0,,
2015-01-01,0,1,2015-01-01 00:00:52,2015-01-01 00:04:47,1,0.4000000059604645,-73.99990844726562,40.732852935791016,1,N,-74.00487518310547,40.730247497558594,1,4.199999809265137,0.5,0.5,1.3700000047683716,0.0,0.0,6.87000036239624,0,0,,
2015-01-01,0,1,2015-01-01 00:00:54,2015-01-01 00:10:02,2,0.699999988079071,-73.98097229003906,40.741844177246094,1,N,-73.99073028564453,40.74863815307617,2,7.0,0.5,0.5,0.0,0.0,0.0,8.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:00:59,2015-01-01 00:24:03,1,6.800000190734863,-73.89647674560547,40.88190841674805,1,N,-73.9360580444336,40.808815002441406,2,22.5,0.5,0.5,0.0,0.0,0.0,23.799999237060547,0,0,,
2015-01-01,0,1,2015-01-01 00:01:00,2015-01-01 00:21:21,1,10.100000381469727,-73.86560821533203,40.77106857299805,1,N,-73.98075866699219,40.78750228881836,1,29.200000762939453,0.5,0.5,7.159999847412109,5.329999923706055,0.0,42.9900016784668,0,0,,
2015-01-01,0,1,2015-01-01 00:01:00,2015-01-01 00:01:30,1,0.10000000149011612,-73.19355773925781,40.809364318847656,5,N,-73.1934585571289,40.81114196777344,3,160.0,0,0.0,0.0,0.0,0.0,160.3000030517578,0,0,,
2015-01-01,0,1,2015-01-01 00:01:01,2015-01-01 00:06:21,1,0.800000011920929,-73.98274230957031,40.74212646484375,1,N,-73.97820281982422,40.75098419189453,2,5.5,0.5,0.5,0.0,0.0,0.0,6.800000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:02,2015-01-01 00:13:06,1,3.200000047683716,-73.98886108398438,40.71886444091797,1,N,-73.99585723876953,40.68918228149414,1,12.199999809265137,0.5,0.5,2.700000047683716,0.0,0.0,16.200000762939453,0,0,,
2015-01-01,0,1,2015-01-01 00:01:03,2015-01-01 00:08:50,1,1.2000000476837158,-73.9710922241211,40.76390075683594,1,N,-73.95684051513672,40.771461486816406,2,7.0,0.5,0.5,0.0,0.0,0.0,8.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:04,2015-01-01 00:38:52,1,6.400000095367432,-73.9889144897461,40.71861267089844,1,N,-73.98834228515625,40.77080154418945,2,27.5,0.5,0.5,0.0,0.0,0.0,28.799999237060547,0,0,,
2015-01-01,0,1,2015-01-01 00:01:06,2015-01-01 00:07:29,1,1.5,-74.00521087646484,40.74118423461914,1,N,-73.99580383300781,40.75917053222656,2,7.0,0.5,0.5,0.0,0.0,0.0,8.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:06,2015-01-01 00:29:34,2,10.600000381469727,-73.91999816894531,40.803802490234375,1,N,-73.92180633544922,40.8388671875,2,33.5,0.5,0.5,0.0,0.0,0.0,34.79999923706055,0,0,,
